id;data_entrega;data_recebimento;qtd_pecas;descricao;valor;receita
1;2024-01-02;2024-01-02;472;minus;4980.2;DORA
2;2024-01-02;2024-01-03;14279;never bloomer blazer;18530.13;DORA
3;2024-01-02;2024-01-02;20431;unsung lard;27138.89;DORA
4;2024-01-03;2024-01-02;6539;defenseless;28735.64;CLIENTE
5;2024-01-03;2024-01-03;25261;including down;8721.1;CLIENTE
6;2024-01-02;2024-01-03;25845;worldly theft cord;15113.24;CLIENTE
7;2024-01-02;2024-01-02;21833;generally;7396.08;CLIENTE
8;2024-01-03;2024-01-02;7627;thankfully shrill;20800.2;DORA
9;2024-01-02;2024-01-02;31983;er eddy continually;14728.33;CLIENTE
10;2024-01-02;2024-01-03;32526;pfft commerce;30268.92;CLIENTE
