id;data;descricao;address;receita;valor
1;2024-01-02;forenenst strident;tie offbeat;CLIENTE;12026.68
2;2024-01-02;our;phooey why;DORA;3078.59
3;2024-01-03;phew;mmm;CLIENTE;29581.01
4;2024-01-03;so ha;while;DORA;21244.85
5;2024-01-03;index next;dedicate beloved;CLIENTE;5961.17
6;2024-01-03;ferociously;through yawn pfft;DORA;14992.73
7;2024-01-03;oof bleakly yum;ick;CLIENTE;22179.22
8;2024-01-02;fooey following;tenderly;DORA;26073.84
9;2024-01-02;winery bony worth;meh rudely;CLIENTE;19302.38
10;2024-01-03;than caring;the what;DORA;30854.26
