id;data;salario;beneficio;comissao;ferias;adiantamento;total
1;2024-01-03;13766.21;23544.18;9573.48;8285.01;29038.95;23117.89
2;2024-01-02;13086.78;17826.09;19258.61;21112.13;25319.14;3672.19
3;2024-01-03;29392.38;16607.15;11408.45;22343.96;27348.78;32093.21
4;2024-01-02;10907.23;21295.12;8579.45;30381.15;7052.92;13305.62
5;2024-01-02;3007.21;30722.11;6241.18;9703.53;27648.73;12598.63
6;2024-01-03;7797.03;29325;21359.85;171.49;12880.23;31426.09
7;2024-01-02;18865.71;11332.24;12872.18;4076.79;12121.46;20080.76
8;2024-01-02;3673.46;11012.02;6001.35;27618.92;8600.29;26342.29
9;2024-01-02;17891.52;556.37;12185.72;20264.84;6575.51;18917.91
10;2024-01-02;10631.25;25965.42;6239.06;28844.85;17257.84;13865.61
