id;data;saldo;banco;valor;fixo_variavel;entrada_saida;pais
1;2024-01-02;3344.22;CAIXA_ANGOLA;19468.65;FIXO;SAIDA;ANGOLA
2;2024-01-02;19038.41;NUBANK;6010.67;VARIAVEL;ENTRADA;BRASIL
3;2024-01-02;14038.68;SOL;2887.34;FIXO;ENTRADA;ANGOLA
4;2024-01-03;5920.32;NUBANK;25515.58;VARIAVEL;ENTRADA;BRASIL
5;2024-01-03;5669.43;SOL;16095.66;VARIAVEL;ENTRADA;BRASIL
6;2024-01-03;22054.89;CAIXA_ANGOLA;22418.41;FIXO;ENTRADA;ANGOLA
7;2024-01-03;9018.36;SOL;10269.45;VARIAVEL;ENTRADA;ANGOLA
8;2024-01-03;32758.71;NUBANK;1990.66;FIXO;SAIDA;BRASIL
9;2024-01-02;32204.3;NUBANK;16612.22;VARIAVEL;ENTRADA;BRASIL
10;2024-01-02;21832.63;SOL;32762.48;FIXO;ENTRADA;BRASIL
